,名称,歌单id,歌单介绍,创建者id,创建者昵称,创建日期,播放次数,收藏量,转发量,评论数,歌单长度,tag1,tag2,tag3
0,中国新生代 | 那些崛起的说唱后浪们,5237416818,"介绍：
随着《中国新说唱》等说唱节目陆续的上映，今年嘻哈一词在国内迅速蹿火，席卷了大街小巷。嘻哈已是当今的超级热度，说唱、街舞等充满着街头文化的嘻哈话题在人群中火速传开，从一开始的“Freestyle”“Skr...
",68014748,薛定谔的缝纫机,2020-09-15,1032064,10649,163,102,94,华语,说唱,nan
0,治愈说唱 I 越过黑暗的那道光,5384130544,"介绍：
今天，你又是为何戴上耳机？

才发现，音乐真的是有力量的，治愈的力量。

愿你有好运气，如果没有，愿你在不幸中学会慈悲；愿你被很多人爱，如果没有，愿你在寂寞中学会宽容。

在这，禁止沮丧！

——
华...
",286427520,一只喵喵喵星人,2020-12-17,1495441,12610,201,70,51,华语,说唱,治愈
0,高质量免费beat,752925229,"介绍：
免费beat
",498085600,尤它不结巴,2017-06-06,1259136,18837,265,46,1026,说唱,nan,nan
0,【姜云升】想要姜云升更完整下嫁音源可思信,6688882095,"介绍：
很多下嫁和废歌在我云盘中，需要可dd思信我哦（有一半你们在歌单中看不见听不了的哦）
v：BeardHarden
",295538196,爱听说唱的晴晴子,2021-04-01,740735,15894,137,268,188,说唱,华语,伤感
0,甜甜的恋爱【情歌说唱】,3191007612,"介绍：
喜欢一切让人感到温暖甜蜜的东西如果你也喜欢，那你一定会喜欢这个歌单
听了这个歌单都会收获甜甜的恋爱哦
歌单里不全是情歌说唱哦还有我喜欢的一些R&B和melody（嘻嘻）
接投稿
不定时更新…
",329255375,Double绒,2020-01-13,1277619,15155,749,254,174,说唱,浪漫,治愈
0,只 穿 假 的 N I K E,6680948662,"介绍：
N I K E S B
",532631661,Chillboigotit,2021-03-27,1505953,2406,660,14,57,说唱,快乐,兴奋
0,浪漫Rap丨开口心动的说唱情话,6751386942,"介绍：
最美的情话
我想要的自始至终不过一个你罢了
",3277385997,少女的喜欢_,2021-05-10,852233,1474,12,3,86,流行,说唱,浪漫
0,小众说唱伴奏”帝国“,5466179178,"介绍：
小众说唱伴奏”帝国“
",308688094,C9_Offical,2021-01-15,366654,7349,15187,326,53,流行,说唱,学习
0,丧rap说唱 | 我知道你不爱我,5310909704,"介绍：
喧嚣如果不停，让我陪你安静
",2136251484,剧终人散以后,2020-10-30,372093,2798,1846,2,56,流行,说唱,孤独
0,『超燃rap』行走的荷尔蒙，燃爆整个夏天,6813153741,"介绍：
请接收这一份热血说唱礼物，聆听有节奏地说话的特殊唱歌形式，感受下激情的澎湃的Rap。
",1418990258,小软溪,2021-06-17,1929545,6471,39,16,71,流行,说唱,nan
0,国风说唱 | 东方押韵艺术 待价而沽,5135448298,"介绍：
说唱（RAP）即有节奏地说话的特殊唱歌形式。发源于纽约贫困黑人聚居区，它以在机械的节奏声的背景下，快速地诉说一连串押韵的诗句为特征。

而中国风歌曲是在歌曲中加入中国古典元素，或以古代典故作为创作...
",1776663236,你要乖喔-,2020-07-22,378557,3619,72,25,55,华语,流行,说唱
0,失眠诊所 | 藏在深夜里的秘密,6861444823,"介绍：
“因为没有梦想所以每天叫醒自己的只是闹钟”

失眠障碍是一种常见的睡眠障碍，是指尽管有适当的睡眠机会和睡眠环境，仍然对睡眠时间和（或）睡眠质量不满意，且影响日间社会功能的一种主观体验。
",354868458,KIND_CL,2021-07-18,544969,2737,10,10,39,流行,说唱,夜晚
0,宝藏Hiphop | 藏在光鲜后的真实,5317504408,"介绍：
唱进内心的宝藏
为它循环千百遍

打动人心的作品 不浮不躁
包罗万象的说唱艺术 能说会燥

*封面来自网络
",201586,原创君,2020-11-03,172950,1282,27,14,35,华语,说唱,兴奋
0,soulfresh说唱伴奏/Rapbeat/说唱beats,5458560495,,82148798,SOULFRESHBEATS,2021-01-10,200779,685,219,1,290,R&B/Soul,说唱,爵士
0,节奏Rap｜运动一夏 健身必备,6835124022,"介绍：
随着近几年人们生活水平提高…
越来越多的人喜欢上了健身…
但是健身本就是枯燥乏味的过程…
过程虽然很辛苦…
但是只要坚持就会得到想要的回报…
健身不光是身材上的变化…
更多的是内心的变化…
让你由内...
",109390499,这条平凡的狗_QwQ,2021-06-30,282058,3022,37,11,54,欧美,流行,说唱
0,「说唱艺术」当街头诗人开始唱思想,5381263323,"介绍：
“嘻哈的牛逼不在于词儿有多脏，不在于beats多燃，而在于作为一种音乐载体，传达了创作者怎样的思考内容，又给予听众怎样的力量。在这一点上，它和民谣、摇滚、诗歌、甚至散文，殊途同归。”

——————...
",1590851653,偷偷的叹了口气,2020-12-15,224765,2996,52,83,100,华语,说唱,另类/独立
0,微丧rap | 大不了就各奔东西,6944159899,"介绍：
无论你昨晚经历了怎样的泣不成声
——早上醒来这个城市依旧车水马龙，没人管你有什么情绪
图片
",1358261208,见青山t,2021-08-29,209969,3408,1,0,60,华语,流行,说唱
0,【姜云升Type Beat合集&说唱伴奏】,6854437149,"介绍：
个人整理的姜云升风格的说唱伴奏，希望各位喜欢。
",5011035536,RONIN-MUSIC,2021-07-13,190955,3187,8,2,27,说唱,伤感,感动
0,甜蜜说唱 ：心动到小鹿乱撞,6938479113,"介绍：
他一眨眼 温顺的小鹿有跳动一下 柔软的暖风有轻拂一下 遥远的星星有闪烁一下 我也有心动 却不止一下。
",1447630647,一只眼睛的鹿_,2021-08-26,315225,4331,20,7,60,流行,说唱,nan
0,cute hiphop|可爱的女孩子喜欢听,6717999436,"介绍：
你怎么那么可爱
那么的乖
世界因为你
而变了色彩
世界都变成粉色了
我心都变成粉色了

封面来源:网络
",1326649492,IKAYKAI,2021-04-18,216777,1289,106,2,37,华语,说唱,流行
0,让你心动的说唱伴奏rap beat,7054837900,"介绍：
喜欢的朋友可以分享收藏哈
",271715824,ZiJianHan,2021-11-06,124213,2309,119,1,43,流行,说唱,清新
0,那些酒吧里放的特别拽的歌曲$,2688991686,"介绍：
在酒吧里听过但是你不知道歌名的那些歌
",438047742,2-5R,2019-03-01,441506,5961,69,59,135,说唱,运动,酒吧
0,好听到炸裂的旋律说唱,5104207413,"介绍：
旋律说唱的亮点在于那些抓人的hook，当旋律响起便沉沦其中，一起来听这些扣人心弦的旋律说唱
",2040442269,白咿呀白,2020-07-10,55930,1672,4,1,288,华语,说唱,清新
0,丧Rap｜Emo旋律必备救心丸,7095508916,"介绍：
人心换人心，换不了的话，我换人.
",536199420,DOGGYE-,2021-11-29,112907,2101,113,2,19,夜晚,伤感,说唱
0,下次见面 要以新的方式遇见,6947314843,"介绍：
这次没有文案 只有你
",584206008,Wi9恶梦,2021-08-31,111685,3135,115,1,55,华语,说唱,夜晚
0,很屌的trap,6723502234,"介绍：
感谢收藏，这里都是你想要的

",254493389,_Yohan,2021-04-22,1913457,25935,172,73,135,欧美,说唱,酒吧
0,【说唱】必听的国内新生代,5134756276,"介绍：
国内说唱新生代的作品，欢迎收听。
中国的hiphop将会在新生代的带领下走的更远
",86104955,Aricdontluv,2020-07-21,199578,5370,232,2,36,说唱,华语,流行
0,美国说唱：匪帮、硬核、trap、old school,2518450276,"介绍：
Trap music 是90年代早期在美国南部形成的一种音乐类型，受到早期的南方嘻哈音乐和硬核说唱乐影响极大。以其极具进攻性的歌词和声音为主要特征。

一般都以808鼓组或者超重并被延长的低音为主体来驱动整首...
",270899879,Grain_Full,2018-11-17,117951,1524,20,4,80,欧美,说唱,R&B/Soul
0,都是同龄人我本来没想降维打击,5325897478,"介绍：
就算消失在江湖也是面最大的旗
高级rap
",1344308750,错过那缕白月光,2020-11-08,550118,5797,71,78,153,说唱,兴奋,流行
0,【说唱】法老/Jony J/ice paper/福克斯…,2784851095,"介绍：
省略号还包括我异常喜爱也非常有才华的鬼卞老师☆还有直火帮等等。

大概就是收了一些我个人比较喜欢的歌。哈哈。随着我听的越来越久，种类也变得越来越多。

虽然有点迟，但是去补完了，还有贷人们好听的...
",1510142771,D-Kyri,2019-05-04,547510,9909,78,175,350,说唱,华语,nan
0,「心动Rap」看朝朝星野跌入浪漫瞬间,7020977703,"介绍：
在Rap里感觉心动
在Rap里感觉浪漫

看落日跌进朝朝星野
看朝朝星野瞬间跌入浪漫
",350433848,_狗十三-,2021-10-15,90017,998,25,6,41,说唱,浪漫,放松
0,monster,7086021800,,510049239,九川沂,2021-11-24,15,2,1,0,790,欧美,说唱,nan
0,“天冷了 进来坐会”,5483045539,"介绍：
“天冷了 进来坐会”
",308688094,C9_Offical,2021-01-26,1855778,3724,8971,318,40,流行,说唱,夜晚
0,青春迷宫丨爱之龙卷风丨hiphop录音棚,5214554067,"介绍：
爱情不止眼前的悲伤，也有热恋的欢愉～（持续更新）
",552899711,MiserC,2020-09-01,1673328,17698,16,21,158,说唱,浪漫,快乐
0,「Emo/Cloud Rap」坠入云雾的情绪黑洞,4895907284,"介绍：
“变迁从来不是一个循序渐进微若不闻的温柔过程
它是断裂的
时光在短暂破碎之后
迅速回复至一种与过往貌合神离的姿态继续向前
只有你自己知道那个罅隙间深不见底
你已经不同”

释放的情感，致郁的歌词，充...
",485543957,丨IIIIIIIIII丨,2020-03-04,103192,2051,35,19,186,欧美,说唱,伤感
0,｜说唱｜宝藏小众歌曲,6656628431,"介绍：
收录一些小众的宝藏，欢迎关注
",532631661,Chillboigotit,2021-03-12,2152924,3990,463,21,121,华语,说唱,兴奋
0,Trap Rap ｜ 懒惰迷幻的宝藏说唱,6842263243,"介绍：
说唱音乐的风格分为很多种，包括Old School、New School、硬核说唱（Hardcore Rap）、Latin Rap（拉丁说唱 ）、黑帮说唱 (Gangsta Rap)等等，特别是在说唱的发源地美国，这里几乎每个地区都有代表自己的旗...
",109390499,这条平凡的狗_QwQ,2021-07-04,1995965,32295,338,87,80,欧美,流行,说唱
0,Trap 欧美 TikTok | 拽姐辣妹炸街必备,6666792750,"介绍：
I'M SO FANCY！！！

封面：Bella Hadid/Kendall Jenner（首字母排序不分先后）
不定时更新，我爱拽姐
2020.12.9
",1512156554,Vic2Riaaa,2021-03-18,19150,265,3,0,107,欧美,说唱,流行
0,火爆的 | 中文说唱你值得拥有,5203647472,"介绍：
听就完事了，别bb
爆不爆我说了算
听吧 粗暴一些
",430376515,圈圈的呆子,2020-08-26,479273,6019,321,1,37,说唱,流行,华语
0,Hiphop（ Trap | melodic rap旋律说唱 ,5323122346,"介绍：
抖音:香菜小绿 无脏标E不歌单
Hiphop歌单 不都是trap
别说这首不是旋律 那首不是trap了
gfunk jazzhiphop gansta都有
会根据自己近期喜好排序 歌单禁止搬运 ———————————————————— ——...
",413345699,秋chill的首席推歌官,2020-11-07,1379699,20754,294,97,810,说唱,欧美,R&B/Soul
0,Hiphop街舞舞曲节奏超强swag,2362497494,"介绍：
一花一世界；
一首一灵魂；
即是舞、易是相伴；
皆因内心热爱才会与灵魂共舞.
",1481142714,BLACK_STAR黑星,2018-08-14,331160,4484,59,8,193,流行,说唱,世界音乐
0,你的大表哥曲甲,5090120360,"介绍：
实时搬运大表哥发布在网易云的歌曲 整合在这一个歌单 方便各位友友们听呀嘻嘻
",331301328,小于不要秃头,2020-07-01,693200,8230,61,82,69,说唱,nan,nan
0,坐下 坐上我的副驾,6661021567,,72043286,拖延里美,2021-03-14,53053,373,6,6,112,说唱,驾车,华语
0,一个人的歌单，rap，hiphop。,2360205462,"介绍：
看，你会发现一个音乐世界。
生活很苦，自己加糖。
认真生活。
",1434514186,拾贰零弋,2018-08-12,2166821,26803,311,127,158,华语,流行,说唱
0,睡觉前的情歌说唱;-),4946086065,"介绍：
甜甜的说唱（持续更新）情歌为主
",1504079223,我要逃学威龙,2020-04-01,480793,6739,762,24,170,华语,说唱,浪漫
0,Rap Star「高质量说唱精选」,3035765774,"介绍：
接投稿 听说唱必备歌单,好听到爆持续更新!!!
",2015707958,力OG,2019-10-19,21106670,160000,4340,413,756,华语,说唱,R&B/Soul
0,Rop｜欧美说唱,7054457846,,5022404607,Ancc林,2021-11-06,2527,132,分享,0,34,说唱,欧美,nan
0,小鬼王琳凯唱歌合集,2952963929,"介绍：
关于小鬼王琳凯的歌单
",1398383841,Luan鬼夫人,2019-08-24,114759,978,4,0,33,说唱,爵士,兴奋
0,说唱伴奏 | RapBeat | FreeBeat | 爆款,5448989620,"介绍：
进来的朋友麻烦点一下收藏，收集一些国内优秀制作人的歌单，安排于他人更方便的去创作属于自己的单曲，投稿直接私信 看到必回！

合作联系：prod_killa
",1510196809,Youngkilla_Offcial,2021-01-06,200359,5531,7140,1,150,欧美,说唱,R&B/Soul
0,【优质抒情beat】“如同清晨的一缕阳光”,5464209724,"介绍：
Beat是指制作人通过鼓点、合成器乐器、采样等制作的伴奏。
Beat当中可能涉及制作人所创作的旋律，但这部分创作在嘻哈音乐中通常被归为制作的范畴。
如有需求请自行联系制作者，谢谢合作！
",477851388,RYI09,2021-01-14,31255,784,11,6,588,说唱,伤感,nan
0,Trap Rap R&B 杂…」,2875321368,"介绍：
杂（仅个人喜好）
",427713737,Krixx_,2019-07-07,7122476,130000,1532,479,574,欧美,说唱,R&B/Soul
0,【欧美说唱】丝滑flow ,6876004331,"介绍：
如果你也摇起来了的话请给我一个respect
",3290028662,zzconpro,2021-07-22,321412,3544,142,21,99,欧美,电子,说唱
0,让你心动的说唱伴奏rap beat,5290830261,"介绍：
说唱是流行音乐的一种表现形式，是指有节奏地说话的特殊唱歌形式。发源于纽约贫困黑人聚居区。它以在机械的节奏声的背景下，快速地诉说一连串押韵的诗句为特征。
",271715824,ZiJianHan,2020-10-16,99954,1681,2,2,44,流行,说唱,清新
0,欧美说唱Trap旋律系列,921019503,,365839154,超储,2017-09-16,58277,716,8,3,161,欧美,说唱,酒吧
0,中文说唱丨宝藏系列,3119596483,"介绍：
MADE IN CHINA 中文说唱已崛起
",421419695,Top嘉熙,2019-12-15,20364630,110000,3276,180,387,华语,说唱,00后
0,Lil Nas X（李娜叉）|无重复收录,6682411138,"介绍：
李娜叉所有歌曲，持续更新……
",431018448,子半天胜,2021-03-28,102898,1094,6,17,29,欧美,流行,说唱
0,综艺:《说唱新世代+外藩》,5247601029,"介绍：
2020年8月22日开播 全集, 周六20点更新/周一更会员版
在这里，万物皆可说唱!
简介：

《说唱新世代》是哔哩哔哩出品的首档说唱音乐类节目。8.22日起，每周六晚20:00播出;8.24日起，每周一晚20:00更新大会员...
",344522059,叽律叽,2020-09-21,450087,4953,60,11,238,华语,说唱,综艺
0,将你喂饱的情歌｜旋律说唱,6586388888,"介绍：
要和rapper谈恋爱？要和rapper谈恋爱！
",584206008,Wi9恶梦,2021-01-29,388620,5902,156,25,117,说唱,R&B/Soul,华语
0,【RAP】甜到炸裂,6945819874,"介绍：
时光温柔，还需你懂。生活可爱，也要你宠。
",4987484153,Cast-Off-Music3,2021-08-30,174353,2586,218,4,33,说唱,R&B/Soul,浪漫
0,说唱新世代-汽油队,5352048248,"介绍：
生番(刘悦)、鱼翅Fin(卢禹弛)、夏之禹、Step.Jad(依加)、Lcz小强、迪木
2021.5.13 更新了鱼翅新专辑的歌
",107877643,Kingsword_,2020-11-26,16324,247,5,0,63,说唱,nan,nan
